FP_REGION,QUINQUENNIUM,NRTN_CORN,NRTN_SOYBEANS,NRTN_WHEAT,NRTN_OTHER CROPS,NRTN_PASTURE/RANGE,NRTN_FOREST,LUSHR_ALL OTHER LCU
CORN BELT & LAKE STATES,1992-1997,0.0,0.0,0.0,0.0,0.0,0.0,0.007650951199338296
CORN BELT & LAKE STATES,1997-2002,0.0,0.0,0.0,0.0,0.0,0.0,0.015288961369890938
CORN BELT & LAKE STATES,2002-2007,0.0,0.0,0.0,0.0,0.0,0.0,0.02225737204835612
CORN BELT & LAKE STATES,2007-2012,0.0,0.0,0.0,0.0,0.0,0.0,0.009916330957545707
CORN BELT & LAKE STATES,2012-2017,0.0,0.0,0.0,0.0,0.0,0.0,0.001656143256391678
MOUNTAIN,1992-1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0736011144648247
MOUNTAIN,1997-2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0016402046975462538
MOUNTAIN,2002-2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0013917884481558806
MOUNTAIN,2007-2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOUNTAIN,2012-2017,0.0,0.0,0.0,0.0,0.0,0.0,0.018171434504958207
NORTHEAST,1992-1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORTHEAST,1997-2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORTHEAST,2002-2007,0.0,0.0,0.0,0.0,0.0,0.0,0.013392857142857144
NORTHEAST,2007-2012,0.0,0.0,0.0,0.0,0.0,0.0,0.05123674911660777
NORTHEAST,2012-2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORTHERN PLAINS,1992-1997,0.0,0.0,0.0,0.0,0.0,0.0,0.019080659150043366
NORTHERN PLAINS,1997-2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0020413212915996537
NORTHERN PLAINS,2002-2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORTHERN PLAINS,2007-2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0008123730667083268
NORTHERN PLAINS,2012-2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0038285443637511843
PACIFIC,1992-1997,0.0,0.0,0.0,0.0,0.0,0.0,0.008010680907877168
PACIFIC,1997-2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PACIFIC,2002-2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0106951871657754
PACIFIC,2007-2012,0.0,0.0,0.0,0.0,0.0,0.0,0.011002962336013541
PACIFIC,2012-2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTHEAST,1992-1997,0.0,0.0,0.0,0.0,0.0,0.0,0.01306701512040321
SOUTHEAST,1997-2002,0.0,0.0,0.0,0.0,0.0,0.0,0.03190810465858328
SOUTHEAST,2002-2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0035422762975512094
SOUTHEAST,2007-2012,0.0,0.0,0.0,0.0,0.0,0.0,0.011292962356792145
SOUTHEAST,2012-2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0053413236060448135
SOUTHERN PLAINS,1992-1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0004943153732081067
SOUTHERN PLAINS,1997-2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0015334709525213802
SOUTHERN PLAINS,2002-2007,0.0,0.0,0.0,0.0,0.0,0.0,0.009989665862900447
SOUTHERN PLAINS,2007-2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0043707001214083364
SOUTHERN PLAINS,2012-2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0054194667244743125
