FP_REGION,QUINQUENNIUM,NRTN_CORN,NRTN_|SOYBEANS-CORN|,NRTN_|WHEAT-CORN|,NRTN_OTCROPS,NRTN_PASTRNG,NRTN_|FOREST-CORN|,LUSHR_CORN
CORN BELT & LAKE STATES,1992-1997,0.2587483930882554,0.03650915590657429,0.3260596899375183,0.17804766874924924,0.2184288277242237,0.3303464246508175,0.3184449958643507
CORN BELT & LAKE STATES,1997-2002,0.16526821755511656,0.10629982135026847,0.21325779477935045,0.051670492536322166,0.11178011514164918,0.23141333867172867,0.2544422926646961
CORN BELT & LAKE STATES,2002-2007,0.36833748554581536,0.059887145209423495,0.39158088587661777,0.294589714665061,0.3752896281248294,0.3921588291651736,0.30595412947689526
CORN BELT & LAKE STATES,2007-2012,1.0,0.22692179090402548,1.0,1.0,0.997011358976719,0.9061982687127408,0.2921702303481046
CORN BELT & LAKE STATES,2012-2017,0.721185306428163,0.17366948316570976,0.5511961718309726,0.5431237142959927,0.5867978898670527,0.6832673728804534,0.23056619397577893
MOUNTAIN,1992-1997,0.19799878918325176,0.5164881941432842,0.21457957496742874,0.08121983447387462,0.3972023276642811,0.12166521201639131,0.013698630136986302
MOUNTAIN,1997-2002,0.09025778679955548,0.3683964573552082,0.17230427438116064,0.052413900507477976,0.28128691228921315,0.0718693269791017,0.00833223986353497
MOUNTAIN,2002-2007,0.1593782180891673,0.4634035993972471,0.2416082276878432,0.0,0.3537671891154102,0.19243925930551842,0.0
MOUNTAIN,2007-2012,0.5497675492586497,1.0,0.4734012475656396,0.29432244870653856,0.7690997576540797,0.5607695852465621,0.029307096504082062
MOUNTAIN,2012-2017,0.3889586635715367,0.7789656059858282,0.31357467798163746,0.05577701585193009,0.5949504056371833,0.42509951075943414,0.026166865687139818
NORTHEAST,1992-1997,0.10276316533792738,0.06990541136190087,0.0,0.009744821692436444,0.06745549127192332,0.34416619057216746,0.11857707509881422
NORTHEAST,1997-2002,0.0,0.17040301540289166,0.020871450959914353,0.14988803197237938,0.08096110849069646,0.6585222545386977,0.1650294695481336
NORTHEAST,2002-2007,0.10217499378126592,0.12694654070744602,0.060997539712209656,0.08342831831676796,0.0,0.926234826358038,0.053571428571428575
NORTHEAST,2007-2012,0.4664509169175014,0.18192186803902016,0.2482035971793985,0.3628140317316413,0.34477049784652253,0.02691740565164808,0.04946996466431095
NORTHEAST,2012-2017,0.41618583521238994,0.38825667090231225,0.16425853052876577,0.1451022620352092,0.11135367151234524,0.25562013981971476,0.1646090534979424
NORTHERN PLAINS,1992-1997,0.1714416381473777,0.0023989776021937875,0.24025361666860548,0.18933902265625777,0.3391867580811979,0.25656158502253923,0.09991326973113616
NORTHERN PLAINS,1997-2002,0.07818301590651879,0.08708730900206038,0.16201823204294835,0.09331235781733273,0.23557824630628998,0.18185256195542449,0.08960163305703328
NORTHERN PLAINS,2002-2007,0.17391439080566318,0.0032675348517371096,0.27338990271754376,0.22384311512753444,0.3314197699023616,0.2711088706717269,0.08098102730217492
NORTHERN PLAINS,2007-2012,0.8047931495432963,0.24700629541581248,0.8704353541713913,0.7936397184613335,1.0,0.7802655430713045,0.16503671301359163
NORTHERN PLAINS,2012-2017,0.5761974831200518,0.03508109140933207,0.594045066563905,0.4549893660602229,0.7408454703537127,0.599051181870107,0.09618724344805811
PACIFIC,1992-1997,0.2261403315058957,0.5551691956770711,0.03526181856638535,0.2288615214360861,0.40939045498028864,1.0,0.0
PACIFIC,1997-2002,0.09836667461715312,0.3795422537907296,0.031023330315093172,0.3177418058157533,0.26899843846524185,0.5274835006568975,0.0
PACIFIC,2002-2007,0.06859017956203696,0.3386139834886798,0.048455691395153266,0.5895550644219834,0.2355360306328828,0.3030422019137863,0.0
PACIFIC,2007-2012,0.42037411952696624,0.822146654347161,0.003444006468371717,0.7898812891300777,0.5988017757349723,0.30674718324704947,0.0025391451544646633
PACIFIC,2012-2017,0.3186363370974483,0.6823064397248899,0.0011808629658505907,0.9901144458976006,0.4797525997352102,0.12557839360110562,0.0
SOUTHEAST,1992-1997,0.14823072765016598,0.022587782976819227,0.1818883951982762,0.14691829646520382,0.1750170438499649,0.097236893049794,0.05264140377076722
SOUTHEAST,1997-2002,0.05600859430262165,0.0,0.13376599844190765,0.17635498873298958,0.07350512793639981,0.07025144512860815,0.07381408211018932
SOUTHEAST,2002-2007,0.20213251012326003,0.033032033300718,0.31437827194558726,0.010413224424911742,0.23123473417600485,0.10059818035029679,0.040197135376559376
SOUTHEAST,2007-2012,0.6189337253601327,0.21220829668252283,0.6090699132665288,0.3054091521884745,0.60194815854568,0.5041790767432791,0.11358428805237317
SOUTHEAST,2012-2017,0.695929730996223,0.007578200719134495,0.6351702868068381,0.2615302978595068,0.6054669259130679,0.6004779868658652,0.05979676915059925
SOUTHERN PLAINS,1992-1997,0.2213932051835559,0.2041258662646493,0.4250847554898232,0.17908331678858214,0.40108571276902494,0.015995144425709602,0.020761245674740483
SOUTHERN PLAINS,1997-2002,0.11252273589535428,0.170572346262827,0.2899201909420909,0.12492866623752756,0.2845165316106977,0.18028619869963738,0.024948392804482453
SOUTHERN PLAINS,2002-2007,0.1721601020804913,0.17513793028827374,0.38911288838868907,0.17823975900100456,0.3458393809184629,0.0,0.0
SOUTHERN PLAINS,2007-2012,0.5533725386863145,0.445162764428658,0.8065720124550437,0.522663408812836,0.7460476643646962,0.4391309129060642,0.03002832861189802
SOUTHERN PLAINS,2012-2017,0.6317288309509895,0.4814916465833578,0.9619714846361949,0.6580869600684552,0.8340395727757137,0.5820901637254532,0.012247994797311947
